Elapsed Time 	Action 	 X	Y
56.248	Pressed Left	1407	784
56.274	Pressed Left	1407	777
56.306	Key	LShiftKey
56.32	Pressed Left	2394	1225
56.325	Key	LShiftKey
56.339	Pressed Left	2391	1260
56.344	Key	LShiftKey
56.359	Pressed Left	2439	1226
63.54	Pressed Left	1478	639
63.566	Pressed Left	1492	634
63.598	Key	LShiftKey
63.612	Pressed Left	2394	1225
63.617	Key	LShiftKey
63.631	Pressed Left	2391	1260
63.636	Key	LShiftKey
63.651	Pressed Left	2439	1226
71.929	Pressed Left	1223	878
71.955	Pressed Left	1226	880
71.987	Key	LShiftKey
72.002	Pressed Left	2394	1225
72.007	Key	LShiftKey
72.022	Pressed Left	2391	1260
72.027	Key	LShiftKey
72.041	Pressed Left	2439	1226
79.118	Pressed Left	1301	846
79.144	Pressed Left	1316	847
87.053	Pressed Left	1217	889
87.079	Pressed Left	1219	903
87.111	Key	LShiftKey
87.127	Pressed Left	2394	1225
87.132	Key	LShiftKey
87.147	Pressed Left	2391	1260
87.152	Key	LShiftKey
87.166	Pressed Left	2439	1226
94.199	Pressed Left	1404	779
94.225	Pressed Left	1412	781
94.257	Key	LShiftKey
94.271	Pressed Left	2394	1225
94.276	Key	LShiftKey
94.29	Pressed Left	2391	1260
94.295	Key	LShiftKey
94.31	Pressed Left	2439	1226
101.757	Pressed Left	1195	794
101.782	Pressed Left	1194	790
101.814	Key	LShiftKey
101.829	Pressed Left	2394	1225
101.834	Key	LShiftKey
101.85	Pressed Left	2391	1260
101.855	Key	LShiftKey
101.87	Pressed Left	2439	1226
109.74	Pressed Left	1316	831
109.766	Pressed Left	1304	834
109.798	Key	LShiftKey
109.813	Pressed Left	2394	1225
109.818	Key	LShiftKey
109.832	Pressed Left	2391	1260
109.837	Key	LShiftKey
109.852	Pressed Left	2439	1226
117.729	Pressed Left	1411	782
117.755	Pressed Left	1413	790
125.79	Pressed Left	1308	972
125.816	Pressed Left	1309	968
125.848	Key	LShiftKey
125.863	Pressed Left	2394	1225
125.868	Key	LShiftKey
125.883	Pressed Left	2391	1260
125.888	Key	LShiftKey
125.903	Pressed Left	2439	1226
133.213	Pressed Left	1323	607
133.239	Pressed Left	1318	615
133.271	Key	LShiftKey
133.285	Pressed Left	2394	1225
133.29	Key	LShiftKey
133.305	Pressed Left	2391	1260
133.31	Key	LShiftKey
133.324	Pressed Left	2439	1226
140.634	Pressed Left	1326	609
140.659	Pressed Left	1338	607
140.691	Key	LShiftKey
140.705	Pressed Left	2394	1225
140.71	Key	LShiftKey
140.725	Pressed Left	2391	1260
140.73	Key	LShiftKey
140.752	Pressed Left	2439	1226
147.837	Pressed Left	1588	456
147.865	Pressed Left	1597	458
147.897	Key	LShiftKey
147.912	Pressed Left	2394	1225
147.917	Key	LShiftKey
147.932	Pressed Left	2391	1260
147.937	Key	LShiftKey
147.952	Pressed Left	2439	1226
155.136	Pressed Left	1139	928
155.162	Pressed Left	1137	943
155.194	Key	LShiftKey
155.208	Pressed Left	2394	1225
155.213	Key	LShiftKey
155.227	Pressed Left	2391	1260
155.232	Key	LShiftKey
155.247	Pressed Left	2439	1226
162.853	Pressed Left	1307	832
162.878	Pressed Left	1316	836
162.91	Key	LShiftKey
162.926	Pressed Left	2394	1225
162.931	Key	LShiftKey
162.947	Pressed Left	2391	1260
162.952	Key	LShiftKey
162.968	Pressed Left	2439	1226
171.108	Pressed Left	1316	832
171.135	Pressed Left	1315	842
171.167	Key	LShiftKey
171.182	Pressed Left	2394	1225
171.187	Key	LShiftKey
171.202	Pressed Left	2391	1260
171.207	Key	LShiftKey
171.224	Pressed Left	2439	1226
178.407	Pressed Left	1400	784
178.433	Pressed Left	1405	785
185.501	Pressed Left	1318	832
185.529	Pressed Left	1305	840
192.837	Pressed Left	1393	933
192.863	Pressed Left	1397	922
200.059	Pressed Left	1312	615
200.085	Pressed Left	1310	606
200.117	Key	LShiftKey
200.132	Pressed Left	2394	1225
200.138	Key	LShiftKey
200.153	Pressed Left	2391	1260
200.158	Key	LShiftKey
200.172	Pressed Left	2439	1226
207.623	Pressed Left	1584	453
207.648	Pressed Left	1597	461
207.68	Key	LShiftKey
207.695	Pressed Left	2394	1225
207.7	Key	LShiftKey
207.715	Pressed Left	2391	1260
207.72	Key	LShiftKey
207.736	Pressed Left	2439	1226
214.78	Pressed Left	1207	1031
214.806	Pressed Left	1207	1040
214.838	Key	LShiftKey
214.852	Pressed Left	2394	1225
214.857	Key	LShiftKey
214.872	Pressed Left	2391	1260
214.877	Key	LShiftKey
214.894	Pressed Left	2439	1226
221.913	Pressed Left	1132	713
221.939	Pressed Left	1139	705
221.971	Key	LShiftKey
221.985	Pressed Left	2394	1225
221.99	Key	LShiftKey
222.007	Pressed Left	2391	1260
222.012	Key	LShiftKey
222.026	Pressed Left	2439	1226
229.615	Pressed Left	1402	779
229.641	Pressed Left	1412	778
229.673	Key	LShiftKey
229.688	Pressed Left	2394	1225
229.693	Key	LShiftKey
229.708	Pressed Left	2391	1260
229.713	Key	LShiftKey
229.73	Pressed Left	2439	1226
236.801	Pressed Left	1481	630
236.827	Pressed Left	1477	639
236.859	Key	LShiftKey
236.873	Pressed Left	2394	1225
236.878	Key	LShiftKey
236.892	Pressed Left	2391	1260
236.897	Key	LShiftKey
236.912	Pressed Left	2439	1226
245.634	Pressed Left	1238	878
245.66	Pressed Left	1229	883
245.693	Key	LShiftKey
245.708	Pressed Left	2394	1225
245.713	Key	LShiftKey
245.727	Pressed Left	2391	1260
245.732	Key	LShiftKey
245.746	Pressed Left	2439	1226
253.49	Pressed Left	1206	895
253.516	Pressed Left	1216	900
253.548	Key	LShiftKey
253.563	Pressed Left	2394	1225
253.568	Key	LShiftKey
253.583	Pressed Left	2391	1260
253.588	Key	LShiftKey
253.602	Pressed Left	2439	1226
261.233	Pressed Left	1559	585
261.259	Pressed Left	1557	595
268.752	Pressed Left	1235	872
268.778	Pressed Left	1227	886
268.81	Key	LShiftKey
268.824	Pressed Left	2394	1225
268.829	Key	LShiftKey
268.843	Pressed Left	2391	1260
268.848	Key	LShiftKey
268.863	Pressed Left	2439	1226
276.177	Pressed Left	1211	893
276.203	Pressed Left	1210	886
283.388	Pressed Left	1324	837
283.413	Pressed Left	1324	843
283.445	Key	LShiftKey
283.46	Pressed Left	2394	1225
283.465	Key	LShiftKey
283.48	Pressed Left	2391	1260
283.485	Key	LShiftKey
283.5	Pressed Left	2439	1226
290.537	Pressed Left	1467	644
290.563	Pressed Left	1464	655
290.595	Key	LShiftKey
290.609	Pressed Left	2394	1225
290.614	Key	LShiftKey
290.629	Pressed Left	2391	1260
290.634	Key	LShiftKey
290.648	Pressed Left	2439	1226
298.406	Pressed Left	1236	877
298.432	Pressed Left	1237	886
298.464	Key	LShiftKey
298.478	Pressed Left	2394	1225
298.483	Key	LShiftKey
298.497	Pressed Left	2391	1260
298.502	Key	LShiftKey
298.517	Pressed Left	2439	1226
305.563	Pressed Left	1392	920
305.589	Pressed Left	1388	926
305.622	Key	LShiftKey
305.636	Pressed Left	2394	1225
305.641	Key	LShiftKey
305.655	Pressed Left	2391	1260
305.661	Key	LShiftKey
305.675	Pressed Left	2439	1226
313.988	Pressed Left	1312	621
314.016	Pressed Left	1313	619
314.048	Key	LShiftKey
314.063	Pressed Left	2394	1225
314.068	Key	LShiftKey
314.084	Pressed Left	2391	1260
314.089	Key	LShiftKey
314.104	Pressed Left	2439	1226
321.538	Pressed Left	1582	461
321.564	Pressed Left	1584	458
321.596	Key	LShiftKey
321.611	Pressed Left	2394	1225
321.616	Key	LShiftKey
321.631	Pressed Left	2391	1260
321.636	Key	LShiftKey
321.65	Pressed Left	2439	1226
330.648	Pressed Left	1140	940
330.676	Pressed Left	1133	934
330.708	Key	LShiftKey
330.723	Pressed Left	2394	1225
330.728	Key	LShiftKey
330.744	Pressed Left	2391	1260
330.749	Key	LShiftKey
330.764	Pressed Left	2439	1226
337.82	Pressed Left	1400	929
337.846	Pressed Left	1401	929
337.878	Key	LShiftKey
