Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0.632	Moved	1607	650
0.633	Moved	1605	651
0.634	Moved	1604	653
0.635	Moved	1603	654
0.636	Moved	1602	656
0.637	Moved	1601	657
0.638	Moved	1599	659
0.639	Moved	1598	660
0.64	Moved	1597	661
0.641	Moved	1596	663
0.642	Moved	1595	664
0.643	Moved	1594	666
0.644	Moved	1593	667
0.645	Moved	1593	668
0.646	Moved	1591	670
0.647	Moved	1591	672
0.648	Moved	1590	673
0.649	Moved	1589	674
0.65	Moved	1588	676
0.651	Moved	1587	677
0.652	Moved	1586	679
0.653	Moved	1586	680
0.654	Moved	1585	682
0.655	Moved	1584	683
0.656	Moved	1584	685
0.657	Moved	1583	686
0.658	Moved	1582	687
0.659	Moved	1582	689
0.66	Moved	1581	691
0.661	Moved	1580	692
0.662	Moved	1580	693
0.663	Moved	1579	695
0.664	Moved	1579	697
0.665	Moved	1578	698
0.666	Moved	1578	700
0.667	Moved	1577	701
0.668	Moved	1576	703
0.669	Moved	1576	704
0.67	Moved	1575	706
0.671	Moved	1575	708
0.672	Moved	1574	710
0.673	Moved	1574	711
0.674	Moved	1574	713
0.675	Moved	1573	715
0.676	Moved	1573	716
0.677	Moved	1572	718
0.678	Moved	1572	720
0.679	Moved	1572	722
0.68	Moved	1571	724
0.681	Moved	1571	726
0.682	Moved	1571	727
0.683	Moved	1570	729
0.684	Moved	1570	731
0.685	Moved	1570	733
0.686	Moved	1569	735
0.687	Moved	1569	737
0.688	Moved	1569	739
0.689	Moved	1569	742
0.69	Moved	1569	743
0.691	Moved	1568	745
0.692	Moved	1568	747
0.693	Moved	1568	749
0.694	Moved	1568	752
0.695	Moved	1568	753
0.696	Moved	1568	756
0.697	Moved	1567	757
0.698	Moved	1567	760
0.699	Moved	1567	762
0.7	Moved	1567	764
0.701	Moved	1567	766
0.702	Moved	1567	768
0.703	Moved	1567	770
0.704	Moved	1567	772
0.705	Moved	1567	774
0.706	Moved	1567	776
